participant_id,cue_file,enc_trial_count,enc_condition_id,enc_low_prediction,enc_high_prediction,enc_direction,enc_scn_type,enc_target_file,enc_target_sat,enc_acc,ret_trial_count,ret_trial_type,ret_trial_type_code,cue_recog_response,cue_recog_acc,outcome_response,outcome_memory_acc,afc_response_num,afc_response_story,afc_response_sat,afc_acc,afc_story_acc,afc_sat_acc
31,stimuli/02-02_01_01_29_Slide-09.png,11.0,8.0,1.0,1.0,1,0,stimuli/02-02_01_01_29_Slide-16.png,1.0,1.0,16.0,old,1.0,new,0,no,0.0,1.0,stimuli/02-02_01_01_29_Slide-14.png,0.0,0.0,0.0,0.0
31,stimuli/01-02_02_02_251_Slide-01.png,12.0,5.0,1.0,0.0,0,1,stimuli/01-02_02_02_251_Slide-06.png,0.0,1.0,50.0,old,1.0,new,0,no,0.0,3.0,stimuli/01-02_02_02_251_Slide-06.png,1.0,0.0,1.0,0.0
31,stimuli/02-02_02_01_24_Slide-09.png,13.0,4.0,0.0,1.0,1,0,stimuli/02-02_02_01_24_Slide-16.png,0.0,1.0,34.0,old,1.0,new,0,no,0.0,2.0,stimuli/02-02_02_01_24_Slide-16.png,1.0,0.0,1.0,0.0
31,stimuli/02-01_02_01_140_Slide-09.png,14.0,4.0,0.0,1.0,1,0,stimuli/02-01_02_01_140_Slide-16.png,0.0,1.0,10.0,old,1.0,old,1,yes,1.0,3.0,stimuli/02-01_02_01_140_Slide-16.png,1.0,0.0,1.0,0.0
31,stimuli/01-01_02_01_85_Slide-01.png,15.0,3.0,0.0,1.0,0,0,stimuli/01-01_02_01_85_Slide-08.png,1.0,1.0,45.0,old,1.0,old,1,no,0.0,1.0,stimuli/01-01_02_01_85_Slide-06.png,0.0,0.0,0.0,0.0
31,stimuli/02-02_02_02_192_Slide-09.png,16.0,6.0,1.0,0.0,1,1,stimuli/02-02_02_02_192_Slide-14.png,1.0,1.0,59.0,old,1.0,new,0,yes,1.0,4.0,stimuli/02-02_02_02_192_Slide-16.png,1.0,0.0,0.0,1.0
31,stimuli/02-01_01_01_83_Slide-09.png,17.0,8.0,1.0,1.0,1,0,stimuli/02-01_01_01_83_Slide-16.png,1.0,1.0,1.0,old,1.0,new,0,no,0.0,4.0,stimuli/02-01_01_01_83_Slide-16.png,1.0,1.0,1.0,1.0
31,stimuli/02-02_01_02_253_Slide-09.png,18.0,2.0,0.0,0.0,1,1,stimuli/02-02_01_02_253_Slide-14.png,0.0,1.0,18.0,old,1.0,new,0,yes,0.0,1.0,stimuli/02-02_01_02_253_Slide-16.png,1.0,0.0,0.0,0.0
31,stimuli/02-02_01_02_249_Slide-09.png,19.0,2.0,0.0,0.0,1,1,stimuli/02-02_01_02_249_Slide-14.png,0.0,1.0,57.0,old,1.0,new,0,no,1.0,3.0,stimuli/02-02_01_02_249_Slide-14.png,1.0,0.0,1.0,0.0
31,stimuli/01-01_01_01_07_Slide-01.png,20.0,7.0,1.0,1.0,0,0,stimuli/01-01_01_01_07_Slide-08.png,0.0,1.0,73.0,old,1.0,old,1,yes,1.0,3.0,stimuli/01-01_01_01_07_Slide-06.png,0.0,0.0,0.0,1.0
