onset,duration,description
2025-12-02 11:56:47.809026,0.0,enc_target
2025-12-02 11:56:49.797026,0.0,enc_prompt
2025-12-02 11:56:53.158026,0.0,enc_resp
2025-12-02 11:56:53.163026,0.0,enc_fixation
2025-12-02 11:56:54.209026,0.0,enc_cue
2025-12-02 11:56:56.266026,0.0,enc_act1
2025-12-02 11:56:57.322026,0.0,enc_act2
2025-12-02 11:56:58.377026,0.0,enc_act3
2025-12-02 11:56:59.432026,0.0,enc_target
2025-12-02 11:57:01.422026,0.0,enc_prompt
2025-12-02 11:57:03.581026,0.0,enc_resp
2025-12-02 11:57:03.587026,0.0,enc_fixation
2025-12-02 11:57:04.630026,0.0,enc_cue
2025-12-02 11:57:06.686026,0.0,enc_act1
2025-12-02 11:57:07.742026,0.0,enc_act2
2025-12-02 11:57:08.798026,0.0,enc_act3
2025-12-02 11:57:09.853026,0.0,enc_target
2025-12-02 11:57:11.845026,0.0,enc_prompt
2025-12-02 11:57:13.949026,0.0,enc_resp
2025-12-02 11:57:13.955026,0.0,enc_fixation
2025-12-02 11:57:14.999026,0.0,enc_cue
2025-12-02 11:57:17.055026,0.0,enc_act1
2025-12-02 11:57:18.112026,0.0,enc_act2
2025-12-02 11:57:19.167026,0.0,enc_act3
2025-12-02 11:57:20.222026,0.0,enc_target
2025-12-02 11:57:22.213026,0.0,enc_prompt
2025-12-02 11:57:24.317026,0.0,enc_resp
2025-12-02 11:57:24.322026,0.0,enc_fixation
2025-12-02 11:57:25.370026,0.0,enc_cue
2025-12-02 11:57:27.434026,0.0,enc_act1
2025-12-02 11:57:28.498026,0.0,enc_act2
2025-12-02 11:57:29.560026,0.0,enc_act3
2025-12-02 11:57:30.622026,0.0,enc_target
2025-12-02 11:57:32.616026,0.0,enc_prompt
2025-12-02 11:57:34.845026,0.0,enc_resp
2025-12-02 11:57:34.850026,0.0,enc_fixation
2025-12-02 11:57:35.899026,0.0,enc_cue
2025-12-02 11:57:37.957026,0.0,enc_act1
2025-12-02 11:57:39.013026,0.0,enc_act2
2025-12-02 11:57:40.070026,0.0,enc_act3
2025-12-02 11:57:41.126026,0.0,enc_target
2025-12-02 11:57:43.122026,0.0,enc_prompt
2025-12-02 11:57:45.900026,0.0,enc_resp
2025-12-02 11:57:45.905026,0.0,enc_fixation
2025-12-02 11:57:46.952026,0.0,enc_cue
2025-12-02 11:57:49.009026,0.0,enc_act1
2025-12-02 11:57:50.071026,0.0,enc_act2
2025-12-02 11:57:51.128026,0.0,enc_act3
2025-12-02 11:57:52.189026,0.0,enc_target
2025-12-02 11:57:54.185026,0.0,enc_prompt
2025-12-02 11:57:55.976026,0.0,enc_resp
2025-12-02 11:57:55.981026,0.0,enc_fixation
2025-12-02 11:57:57.026026,0.0,enc_cue
2025-12-02 11:57:59.082026,0.0,enc_act1
2025-12-02 11:58:00.138026,0.0,enc_act2
2025-12-02 11:58:01.193026,0.0,enc_act3
